"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"181452966589509634","","","2012-03-18 18:52:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","No practice today...a blessing or a curse?","","","",""
"179985571131834368","","7923542","2012-03-14 17:41:18 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","@MarkRiffey sure did...thinking up more questions now","","","",""
"179782367928516608","179778206428180480","180018775","2012-03-14 04:13:51 +0000","web","@johniggy23 You better be, your in big trouble! #noBigDeal but you better not have any problems come housing signups","","","",""
"179025360535564288","","","2012-03-12 02:05:46 +0000","web","Just read that my cousin has 6318 tweets, looks like I need to catch up! @ee1013","","","",""
"169190767414349824","","","2012-02-13 22:46:37 +0000","web","Title ""The Big Long River"" ""To Motor Oar not to Motor""","","","",""
"169190601047293953","","","2012-02-13 22:45:57 +0000","web","DONE thanks for another awesome weekend #MCM","","","",""
"169155192208637953","","","2012-02-13 20:25:15 +0000","web","can anyone say 'LAST DAY!!!' #MCM","","","",""
"168730208982151168","","","2012-02-12 16:16:31 +0000","web","I guess today is the actual full day 3 #mcm","","","",""
"168361927846793216","","","2012-02-11 15:53:06 +0000","web","here comes day 3 #mcm","","","",""
"167989196554911745","","","2012-02-10 15:12:00 +0000","web","the beginning of day 2, here we go #mcm","","","",""
"164974584527982592","","","2012-02-02 07:33:00 +0000","web","Awesome http://t.co/lblecTnv! some fun little brain teasers","","","","http://cstutoringcenter.com"
"164959323552882690","","","2012-02-02 06:32:22 +0000","web","Wonder if its ever possible to do too many things?","","","",""
"162684681257615360","","","2012-01-26 23:53:45 +0000","web","So..finished coding a blog from scratch today..nbd","","","",""
"159648804516274176","","","2012-01-18 14:50:15 +0000","web","FOR MONTANTA -&gt; NO SOPA! #SOPASTRIKE","","","",""
"159644802856652800","","","2012-01-18 14:34:21 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","NO SOPA! http://t.co/beT8wdD2","","","","http://www.google.com/takeaction/"
"158234476881788929","158186326355746816","7923542","2012-01-14 17:10:13 +0000","web","@MarkRiffey Just had a hilarious run in with some inebriated students. The best yet I would say!","","","",""
"158119662838743040","","","2012-01-14 09:34:00 +0000","web","On the brink of something awesome ... nbd ... but its time for bed!","","","",""
"158087388051156993","","","2012-01-14 07:25:45 +0000","web","Just had the best experience of my CA career!","","","",""
"156511738748080129","","","2012-01-09 23:04:41 +0000","web","Dropbox anyone?  Pretty awesome service and get 250 MB free by starting with me - come on 41 followers! we can do it! http://t.co/EoDPJFZt","","","","http://db.tt/NqXh0pp"
"156270622593400832","","","2012-01-09 07:06:34 +0000","web","What kind of trend is this ""Page 9 of 366"" - still pretty funny tho - anyway - here comes school!","","","",""
"156260335307857920","","","2012-01-09 06:25:41 +0000","web","RT @_Snape_: #1ThingIFindSexy knowing the difference between your and you're.","156233662206185472","304185486","2012-01-09 04:39:42 +0000",""
"156260182903635968","","","2012-01-09 06:25:05 +0000","web","alright school - #BringItOn!","","","",""
"156105764908445696","","","2012-01-08 20:11:29 +0000","web","Best way to start the semester - with a write-up! #NotSoMuch","","","",""
"154628479558746112","","","2012-01-04 18:21:17 +0000","web","RT @johniggy23: Everybody needs to watch this #MettaWorldPeace #LakersSuck  http://t.co/JhxHQVr5","154441786633371648","180018775","2012-01-04 05:59:25 +0000","http://www.youtube.com/watch?v=4HxcU0xVXrA&feature=share&fb_source=message,http://www.youtube.com/watch?v=4HxcU0xVXrA&feature=share&fb_source=message"
"154343334905778176","","","2012-01-03 23:28:13 +0000","web","OM edits complete --- maybe? @outsidemedia","","","",""
"153971089201049601","","","2012-01-02 22:49:02 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nice helmets Oregon. #rosebowl","","","",""
"153910995406950400","","","2012-01-02 18:50:15 +0000","web","Einstein 'it'; Pascal hides; Newton draws a square around feet. Einstein sees Newton:""Newton over a square meter-you found Pascal"" -rswenson","","","",""
"153711908963360768","","","2012-01-02 05:39:09 +0000","web","Watching The International ... kind of excited!","","","",""
"153369875778248704","","","2012-01-01 07:00:02 +0000","web","I'm going to be one of 'those' people: ""HAPPY NEW YEAR""!","","","",""
"152494140863688706","","","2011-12-29 21:00:11 +0000","web","somebody decided to run a red light, literally, the stop-light below my house was sheered of last night, crazy people","","","",""
"151732094916247553","","","2011-12-27 18:32:05 +0000","web","just set up dual 23"" monitors, pretty awesome!","","","",""
"151523004747231232","","","2011-12-27 04:41:14 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nice job drew brees","","","",""
"150834079108055041","","","2011-12-25 07:03:41 +0000","web","Merry Christmas to all and to all a good night","","","",""
"149904867362734080","","","2011-12-22 17:31:20 +0000","web","Back in C-town - Let me know if anyone wants to hang out!","","","",""
"149682344473804801","","","2011-12-22 02:47:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Good show #elfonusa","","","",""
"148107465731485696","","","2011-12-17 18:29:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","At the stadium and ready to rumble #naiaathletics","","","",""
"147664913001758720","","","2011-12-16 13:10:33 +0000","web","Made it to Rome, now it's time for a win!","","","",""
"146859503193821184","","","2011-12-14 07:50:08 +0000","web","Can you say - Done with tests for the year? - I can!
Now just time to get the site up and running for the release next week","","","",""
"146506002932563968","","","2011-12-13 08:25:27 +0000","web","Web statistics to rival Google Analytics?  a possible senior project choice","","","",""
"146453851875180544","","","2011-12-13 04:58:13 +0000","web","So apparently under-grading yourself then causes the professor to over-correct and give you an even better score...turned at 84 into a 96!!!","","","",""
"146434975573614592","","","2011-12-13 03:43:13 +0000","web","Turned in all my take-homes.  Just statistics...boo stats","","","",""
"146290778635907072","","","2011-12-12 18:10:14 +0000","web","50% complete for in-class finals; on to checking my take-home exams","","","",""
"143588153347932160","","","2011-12-05 07:10:58 +0000","web","Tree and wreath up on floor, looks pretty good if I do say so myself","","","",""
"143089923954712576","","","2011-12-03 22:11:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","35-3....looks like the saints are going to rome","","","",""
"135467670194765824","","","2011-11-12 21:23:04 +0000","web","Just finished writing a query to pull templates dynamically based on calendar events, NBD, just a replica of Google Calendar","","","",""
"135294563949621248","","","2011-11-12 09:55:12 +0000","web","Been coding or thinking about it for past few days, nerd much?","","","",""
"133695727640645632","","","2011-11-08 00:02:00 +0000","web","Hooray, Physics homework sucks!","","","",""
"133241013039939584","133234955173117953","7923542","2011-11-06 17:55:07 +0000","web","@MarkRiffey Did someone have to go coffee-less this morning?","","","",""
"130834980002734081","","","2011-10-31 02:34:24 +0000","web","Placed 8-20 for the local center at ACM ICPC Regionals.  Not too bad for Carroll's first time competing!","","","",""
"129904503418920960","","","2011-10-28 12:57:01 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Thanks @markriffey
-N8","","","",""
"129903435079368706","","7923542","2011-10-28 12:52:47 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","@MarkRiffey pretty well actually.
Headed down to the ACM programming competition today, a little nervous","","","",""
"129807848485036032","","","2011-10-28 06:32:57 +0000","web","Is anybody as stressed as I am, or is this just normal?","","","",""
"123482056519983104","","","2011-10-10 19:36:31 +0000","web","Listened to first lecture, can't wait for more! @aiclass","","","",""
"123433721218080768","","","2011-10-10 16:24:27 +0000","web","Did ACM programming contest, finished 4th out of 8
Pretty good for Carroll's first time competing.","","","",""
"115661154264682497","","","2011-09-19 05:39:02 +0000","web","Wow, can you say, annoying, well, that's not the right word, but sometime it sure feels like it","","","",""
"115187897640034304","","","2011-09-17 22:18:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Saints win 38-13","","","",""
"113129671100600320","","","2011-09-12 05:59:50 +0000","web","Verizon Trade-In program = free phone
I think so!","","","",""
"105517092928897024","","","2011-08-22 05:50:10 +0000","web","And so begins another academic year, what It brings, none shall know till the year is through and done","","","",""
"99329616715595776","","","2011-08-05 04:03:20 +0000","web","Time for a new laptop, any suggestions?","","","",""
"98186712542478336","","","2011-08-02 00:21:51 +0000","web","Does anybody else feel that 'the cloud' could actually be a bad thing?","","","",""
"96834506790670337","","","2011-07-29 06:48:40 +0000","web","Why can't I sleep?!!","","","",""
"96215163920859137","","","2011-07-27 13:47:37 +0000","web","Nate is switching off his brain, cause he’s at the office","","","",""
"93317896708694016","93149533944549377","7923542","2011-07-19 13:54:54 +0000","web","@MarkRiffey WHAT? why Borders?","","","",""
"93092160378896384","","","2011-07-18 22:57:55 +0000","web","I wonder, whose cruel idea was it for the word ""Lisp"" to have an ""S"" in it?","","","",""
"92298001204248576","92292703945097217","158215101","2011-07-16 18:22:12 +0000","web","@duckydork101 sounds like a re-install is in order","","","",""
"92229508857466881","92119290819510272","158215101","2011-07-16 13:50:03 +0000","web","@duckydork101 and you call yourself a cs major","","","",""
"90610961437822978","90609976615247872","45477797","2011-07-12 02:38:31 +0000","web","@claire80991 sounds good to me","","","",""
"90610161386913792","90607219074277376","45477797","2011-07-12 02:35:20 +0000","web","@claire80991 And thats what we are doing too!","","","",""
"90609374871035904","90607219074277376","45477797","2011-07-12 02:32:13 +0000","web","@claire80991 we just watched that!!!","","","",""
"90155670489411584","","","2011-07-10 20:29:21 +0000","web","Spent a weekend hacking access to a server I should have access to in the first place - oh well, circumventing security is fun!","","","",""
"86925947747565568","","7923542","2011-07-01 22:35:35 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","@markriffey looks like parents have something planned, any chance you have an opening after 4 tomorrow?","","","",""
"86915026002255873","86913363011059712","7923542","2011-07-01 21:52:11 +0000","web","@MarkRiffey I'll see what I can do","","","",""
